Taxa	Sample01	Sample02	Sample03	Sample04
Bacteria;Armatimonadetes;Armatimonadia;Armatimonadales;Armatimonadaceae;Armatimonas;Unclassified Armatimonas	1	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Bacteroides;Unclassified Bacteroides	0	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Bacteroidaceae;Unclassified Bacteroidaceae;	0	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Anaerophaga;Unclassified Anaerophaga	0	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Cytophaga;Unclassified Cytophaga	0	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Marinilabiaceae;Unclassified Marinilabiaceae;	0	2	2	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Candidatus Armantifilum;Unclassified Candidatus Armantifilum	0	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Parabacteroides;Unclassified Parabacteroides	0	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Porphyromonas;Unclassified Porphyromonas	0	2	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Proteiniphilum;Bacteroides sp. SA-11	0	1	0	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Porphyromonadaceae;Unclassified Porphyromonadaceae;	0	2	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Alistipes indistinctus YIT 12060	0	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Alistipes;Unclassified Alistipes	0	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Rikenellaceae;Unclassified Rikenellaceae;	0	0	1	0
Bacteria;Bacteroidetes;Bacteroidia;Bacteroidales;Unclassified Bacteroidales;;	0	5	4	0
Bacteria;Bacteroidetes;Class Incertae Sedis;Order Incertae Sedis;Family Incertae Sedis;Prolixibacter;Prolixibacter bellariivorans	0	0	1	0
Bacteria;Bacteroidetes;Class Incertae Sedis;Order Incertae Sedis;Family Incertae Sedis;Prolixibacter;Unclassified Prolixibacter	0	2	2	0
Bacteria;Bacteroidetes;Class Incertae Sedis;Order Incertae Sedis;Family Incertae Sedis;Prolixibacter;bacterium Phenol-4	0	1	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Flexibacter;Unclassified Flexibacter	1	0	0	1
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Hymenobacter;Unclassified Hymenobacter	0	2	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Meniscus;Unclassified Meniscus	0	0	2	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Runella;Unclassified Runella	0	1	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Cytophagaceae;Unclassified Cytophagaceae;	0	1	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Flexithrix;Unclassified Flexithrix	0	0	1	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Marinoscillum;Unclassified Marinoscillum	0	1	0	0
Bacteria;Bacteroidetes;Cytophagia;Cytophagales;Flammeovirgaceae;Unclassified Flammeovirgaceae;	0	1	0	0
Bacteria;Bacteroidetes;Cytophagia;Order II Incertae Sedis;Rhodothermaceae;Unclassified Rhodothermaceae;	0	0	1	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Cryomorphaceae;Unclassified Cryomorphaceae;	0	0	1	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Chryseobacterium;Unclassified Chryseobacterium	0	0	1	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Elizabethkingia;Unclassified Elizabethkingia	0	0	2	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Flavobacterium;Unclassified Flavobacterium	0	1	1	0
Bacteria;Bacteroidetes;Flavobacteria;Flavobacteriales;Flavobacteriaceae;Myroides;Unclassified Myroides	0	0	1	0
